"","subject","item","value","measure","item_type","pict_order","adjective","adj_type","pict_position","noun","group","series","newcol","degree","block","degree2","value2"
"3965","5acb32595cd1050001627086","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3966","5aeabe40b02f280001759ea0","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3967","5aeace46854c9000018675a1","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3968","5ab9f5e37ccedb0001b7dd2d","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3969","5a0af79849add9000140d8dd","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3970","5aea9bf826b6680001697cd3","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3971","5a1dc8e45d06850001b012b6","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3972","58d4ebdec8677b0001a2107b","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3973","5aeafacdd84ebf0001ba9a2f","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",NA,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",NA
"3974","5afdcfb796a88e0001ff3fdc","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3975","5aead0fbf61e7d00013f97ec","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
"3976","5aecb47c75deca00016263a5","b1__item_4.gerade_max..reversed...Q1.12.1...Q1.12.1",1,"rating","target","reversed","gerade","max","01","banane","Abs","Abs1-b1__item_4","reversed_01","05","b1","01",0
