"","subject","item","value","measure","item_type","pict_order","adjective","adj_type","pict_position","noun"
"1","5b683037c125b0000166464f","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"2","5a79e91117ef350001702057","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"3","5b264e0c0ec82d0001d207eb","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"4","5b4979dfd4c93b00019bfd88","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"5","5b0a869f1e55760001b93fa3","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"6","5adee34309eae2000112f3ec","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"7","59e6ed442f63d30001c8fa22","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"8","5ad932ffdec767000128a6e0","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"9","59cd43bea5bbdd0001bf4552","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"10","5b61f39d3cedeb0001c17306","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"11","5a2e9feb4505510001b9e25b","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"12","5aeaced2f00c7f00018f7701","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"13","593ed931d7edb800015241ce","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"14","5b5ed754f5bc59000117f9d7","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"15","5a7f2c34ae9a0b0001a9b3bf","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"16","5b51fe1067feb90001167c32","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"17","55e5becac70c7a00102a5bf9","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"18","58f5dd2b40baf30001229be9","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"19","5b2b7cd9007d870001c84d28","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"20","5b130d21444cef0001cadec7","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"21","5a2158111a1ad3000138f7e1","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"22","556db04dfdf99b26054b1768","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"23","5b2b5f990c7ecc000132d2fb","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"24","5b589a3b3f7d1c0001208218","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"25","5b2285b50fbb830001080525","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"26","5b27efb30ec82d0001d23580","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"27","5b1c03794c72120001f201bb","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"28","59cd1375f7b7a00001197f96","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"29","5a05a800df3fa800015c34b6","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"30","5a93065fdbdb470001ee8e52","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"31","5b3a541e06f9f90001fb9c00","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"32","57e0f94c89fea700017297e7","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"33","5b2b889622e459000182afbb","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"34","5b29456ca7cee100011deeaf","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"35","5aeda3ba7ed546000157576c","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"36","5b291e8b8ccfef0001bdd651","b1__filler_1.schwarz..left.right...Q1.1.1...Q1.1.1",0,"rating","filler","leftno_rightyes","schwarz","color","01","comb"
"37","5b683037c125b0000166464f","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"38","5a79e91117ef350001702057","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"39","5b264e0c0ec82d0001d207eb","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"40","5b4979dfd4c93b00019bfd88","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"41","5b0a869f1e55760001b93fa3","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"42","5adee34309eae2000112f3ec","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"43","59e6ed442f63d30001c8fa22","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"44","5ad932ffdec767000128a6e0","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"45","59cd43bea5bbdd0001bf4552","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"46","5b61f39d3cedeb0001c17306","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"47","5a2e9feb4505510001b9e25b","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
"48","5aeaced2f00c7f00018f7701","b1__filler_1.schwarz..left.right...Q1.1.2...Q1.1.2",0,"rating","filler","leftno_rightyes","schwarz","color","02","comb"
